"additionalEmails","additionalPhones","address","businessName","category","city","coldEmailBody","coldEmailSubject","collectedAt","dedupeId","email","facebook","hasBookingWidget","hasChatWidget","hasContactForm","instagram","leadScore","linkedin","phone","rating","reviewCount","scoreReasons","smsMessage","source","state","tier","voicemailScript","website","zip"
"","","Englewood, CO 80112","Bluefrog Plumbing + Drain","Plumbing","Englewood","Hello Bluefrog Plumbing + Drain Team,","Unlock the potential of your online presence, Bluefrog Plumbing + Drain","2026-01-17T10:56:08.467Z","fe5a5c6ba980b4ef","","","false","false","false","","34","","(720) 807-5077","4.7","127","Well-reviewed business","Hey, Bluefrog Plumbing + Drain! Your 4.7-star rep is impressive. Let's get a website working for u & reach more Englewood clients. Call me back? - [Your Name] from My Pipeline Solutions.","Yelp","CO","D","Hi there, this is [Your Name] from My Pipeline Solutions. I was just browsing through your excellent 4.7-star rated plumbing business, Bluefrog Plumbing + Drain, in Englewood. You guys have an amazing reputation and do great work, but did you know you're missing out on reaching a wider customer base just because you don't have a website? Our team at My Pipeline Solutions specializes in helping businesses like yours increase their online presence and quality of leads. I'd love to chat about how we can help. Please give me a call back at your earliest convenience. Looking forward to it!","","80112"
"","","225 S Harrison St A412, Ste A412, Denver, CO 80209","Speed plumbing","Plumbing","Denver","Hello,","Unleashing Speed Plumbing’s Full Potential in Denver","2026-01-17T10:56:08.848Z","3fe13ec3c5573097","","","false","false","false","","35","","(720) 670-6361","4.9","142","Well-reviewed business","Hi, this is [Your Name] from My Pipeline Solutions. Noticed Speed Plumbing's stellar reputation! Let's transform that into an improved lead score with a robust online presence. Call me at [Your Number] to discuss more.","Yelp","CO","D","Hi, this is [Your Name] from My Pipeline Solutions. I discovered Speed Plumbing while researching high-rated plumbing services in Denver, and your 4.9-star reputation caught my eye. However, I noticed a missing piece – a website to showcase your excellent services.","","80209"
"","","1130 S Cherokee St, Denver, CO 80223","Hyper Flow Service","Plumbing","Denver","Hello Hyper Flow Service Team,","Unlock Hyper Flow Service Growth Potential with Advanced Marketing Strategies","2026-01-17T10:56:09.005Z","f449e2248cec53c2","","","false","false","false","","34","","(720) 259-5816","4.7","232","Well-reviewed business","Hi Hyper Flow, impressed by your top-notch service in Denver! Let's help more locals find you. How? Call us at My Pipeline Solutions for details.","Yelp","CO","D","Hi, this is [Your Name] from My Pipeline Solutions. I recently came across Hyper Flow Service and was thoroughly impressed by your 4.7-star reputation in Denver. I had a hard time finding you online, though, and I believe we can help. Our specialized marketing strategies can increase your online visibility and improve your lead quality, bringing you more customers. I'd love to discuss this further. Please call me back at your earliest convenience. Thank you.","","80223"
"","","1357 E 73rd Ave, Denver, CO 80223","Hero Plumbing and Drains","Plumbing","Denver","Hi Hero Plumbing and Drains team,","Unleash Hero Plumbing's Potential Online","2026-01-17T10:56:09.126Z","cea410def876a016","","","false","false","false","","35","","(720) 421-5016","4.9","51","Well-reviewed business","Hi Hero Plumbing! Saw your great rep in Denver. We can help amplify it with effective advertising + a strong online presence, improving your lead scores. Call back? [Your Number]","Yelp","CO","D","Hi, this call is for the team at Hero Plumbing and Drains. This is [Your Name] from My Pipeline Solutions. I came across your business because of your stellar reputation in the Denver area. I noticed you don't have a website yet and I believe we could help amplify your business reach. We specialize in marketing for local businesses, just like yours. I'd love to discuss how we can help Hero Plumbing and Drains improve your lead quality with effective advertising and a strong online presence. Please give us a call back at [Your Number]. Looking forward to a fruitful conversation. Thanks!","","80223"
"","","1410 Brentwood St, Lakewood, CO 80214","My Denver Plumber","Plumbing","Lakewood","Dear My Denver Plumber team,","Bolster My Denver Plumber's Exceptional Reputation with Digital Presence","2026-01-17T10:56:09.246Z","37667c10916d98a4","","","false","false","false","","34","","(720) 620-4177","4.7","491","Well-reviewed business","Hey My Denver Plumber team! Impressed by your 4.7-star rating. Noticed no website. Let's talk about boosting your digital presence for more leads. Call back? [Your Number]","Yelp","CO","D","Hey there, this message is for the team at My Denver Plumber. I'm [Your Name] from My Pipeline Solutions. Just wanted to drop you a quick note to say how impressed I am with your 4.7-star rating - that's seriously impressive. I did notice, though, that you guys don't seem to have a website. I'd love to chat about how we can help you take advantage of the digital space to boost your already stellar reputation and improve your lead quality. Give me a call back at [Your Number]. Looking forward to hearing from you.","","80214"
"","","9245 W 53rd Pl, Arvada, CO 80002","Honest Plumbing","Plumbing","Arvada","Dear Honest Plumbing Team,","Boost Honest Plumbing's Presence with My Pipeline Solutions","2026-01-17T10:56:09.374Z","0c78afcea43a7879","","","false","false","false","","33","","(303) 330-0550","4.7","46","Well-reviewed business","Hi Honest Plumbing, noticed your stellar reputation in Arvada but no website? Let's improve your lead quality with an online presence. Call [Your Number] to discuss.","Yelp","CO","D","Hello, this message is for the team at Honest Plumbing. My name is [Your Name] from My Pipeline Solutions. I was browsing through local service businesses in Arvada, and your impressive 4.7-star rating caught my attention.","","80002"
"","","4210 S Galapago St, Englewood, CO 80110","Peach Tree Plumbing","Plumbing","Englewood","Dear Peach Tree Plumbing Team,","Boost Peach Tree Plumbing's Excellent Reputation with a Digital Presence","2026-01-17T10:56:09.521Z","bbc82399ee76f508","","","false","false","false","","34","","(720) 298-1900","4.5","189","Well-reviewed business","Hi, Peach Tree Plumbing! Noticed your excellent ratings but not finding a website. Let's fix that, reach more Englewood locals & boost leads! Call [Your No.] to discuss.","Yelp","CO","D","Hi, this is [Your Name] from My Pipeline Solutions. I recently noticed Peach Tree Plumbing's stellar reputation in Englewood - very impressive. However, during my search, I didn't come across a website for your business. In today's digital age, a strong online presence can be a game-changer, allowing you to reach more local customers and improve the quality of your leads. At My Pipeline Solutions, we specialize in helping businesses like yours maximize their potential. Give me a call back at [your number] so we can discuss how we can help Peach Tree Plumbing grow. Looking forward to speaking with you!","","80110"
"","","5440 Marshall St, Arvada, CO 80002","Spartan Plumbing","Plumbing","Arvada","Hello Spartan Plumbing,","Improve Lead Quality with My Pipeline Solutions, Spartan Plumbing","2026-01-17T10:56:09.661Z","9ea8f8c475466b03","","","false","false","false","","34","","(720) 900-3192","4.6","182","Well-reviewed business","Hi, Spartan Plumbing. Noticed your impressive reputation in Arvada. We at My Pipeline Solutions can improve your lead quality with a website. Let's chat. Reply YES to schedule a call.","Yelp","CO","D","Hi, this is [Your Name] from My Pipeline Solutions. I was doing some research on reputable local service businesses in Arvada and came across Spartan Plumbing. I was really impressed with the excellent reputation you guys have built, especially without having a website. I believe that with our expertise in advertising and marketing, we can help you improve your lead quality and expand further in the local market. I'd love to discuss some of our strategies that have worked well for similar businesses. Please call me back at [Your Number]. Thank you.","","80002"
"","","2200 E 104th Ave, Ste 205, Thornton, CO 80233","Just In Time Electrical & Plumbing","Electricians","Thornton","Hello Just In Time Electrical & Plumbing Team,","Boost Your Business, Just In Time Electrical & Plumbing: Unleash the Power of Online Advertising","2026-01-17T10:56:09.766Z","436791a3143a7ac5","","","false","false","false","","35","","(303) 625-7625","4.9","54","Well-reviewed business","Just In Time Electrical & Plumbing, impressive reputation! Noticed you don't have a website. Let's turn this into an opportunity to grow! Call us [Your Number] to see how.","Yelp","CO","D","Hello, this is [Your Name] from My Pipeline Solutions. I've been looking at Just In Time Electrical & Plumbing, and I'm genuinely impressed by your strong reputation in Thornton.","","80233"
"","","8091 Shaffer Pkwy, Ste C, Littleton, CO 80127","Summit Heating A/C Plumbing & Electric","Heating & Air Conditioning/HVAC","Littleton","Hello,","Boost Summit Heating A/C Plumbing & Electric's Online Presence","2026-01-17T10:56:09.908Z","74dc89281c3bdbb1","","","false","false","false","","34","","(720) 870-1580","4.5","439","Well-reviewed business","Hi there, Summit Heating A/C Plumbing & Electric has an excellent reputation, but could benefit from a strong online presence. Let's chat on how to improve that. Can you talk tomorrow? [Your Number]","Yelp","CO","D","Hello,","","80127"
